Name,SMILES,Affinity
ab_enamine24458,Cc1cccc(c1)c1cncc(c1)C(=O)N1CCC(CC1)C1NC(=O)C1(C)C,-8.327
ab_enamine13149,Cc1cc(C)c(CNC(=O)CNS(=O)(=O)c2cccc(c2)C(F)(F)F)c(=O)[nH]1,-8.327
ab_enamine14175,CC1Cc2cc(ccc2N1CC(=O)N1CCN(CC1)c1ncccn1)S(=O)(=O)N,-8.324
ab_enamine7133,CNC(=O)c1ccc(NS(=O)(=O)c2ccc3[nH]c(=O)c(=O)[nH]c3c2)cc1,-8.322
ab_enamine15381,O=C(Nc1nnc(NS(=O)(=O)c2ccccc2)[nH]1)C1CCC=CC1,-8.32
ab_enamine23192,Cc1cc(NC(=O)Cc2ccc(cc2)n2cnnn2)ccc1[N+](=O)[O-],-8.317
ab_enamine26659,COC(=O)N1CCCN(CC1)C(C)c1nc(no1)c1cccc(c1)C(F)(F)F,-8.315
ab_enamine12207,CC(C)NS(=O)(=O)Cc1ccccc1CNC(=O)Cn1c(=O)[nH]c(=O)c2ccccc12,-8.314
ab_enamine9755,CC(=O)[C@@H]1C[C@H](C(=O)NS(=O)(=O)c2ccc3[nH]c(=O)oc3c2)C1(C)C,-8.311
ab_enamine26896,COc1ccccc1NC(=O)COC(=O)c1c(C)nc2ccccc2c1C,-8.311
ab_enamine27678,CN1CCCN(C(=O)c2ccc(N3CCCC3)c(c2)[N+](=O)[O-])c2nc3ccccc3nc12,-8.31
ab_enamine28576,Cc1cccc(c1)c1c[nH]c(n1)C1CCCN1Cc1ccccc1[N+](=O)[O-],-8.31
ab_enamine20466,COC(=O)c1cc2cc(Cn3cc([N+](=O)[O-])c(C)cc3=O)ccc2o1,-8.309
ab_enamine5186,CC1CCCCN1S(=O)(=O)c1cccc(c1)C(=O)NS(=O)(=O)C,-8.309
ab_enamine14762,CC(=O)N1C=Cc2ccccc2C1CC(=O)N1CCC(CC1)C(=O)Nc1ccc(cc1)S(=O)(=O)N,-8.309
ab_enamine13619,Cc1noc2nc(C)cc(C(=O)N3CCCC(C3)S(=O)(=O)NC3CCCC3)c12,-8.306
ab_enamine25770,CC(C)c1cc(NC(=O)COC(=O)c2cc3ccc(F)cc3nc2C)on1,-8.306
ab_enamine26257,CC(C)c1ccc2NC(=O)C(NC(=O)CCNc3ccccc3[N+](=O)[O-])c2c1,-8.305
